date,home_team,away_team,home_score,away_score,competition,city,country,neutral,world_cup,winner
1905,Scotland,Ireland,5,11,1905 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Ireland
1905,Wales,Ireland,10,3,1905 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1905,England,Scotland,0,8,1905 Home Nations Championship,Richmond,England,FALSE,FALSE,Scotland
1905,New Zealand,Australia,14,3,1905 Australia tour of New Zealand,Dunedin,New Zealand,FALSE,FALSE,New Zealand
1905,Scotland,New Zealand,7,12,1905-06 New Zealand tour,Edinburgh,Scotland,FALSE,FALSE,New Zealand
1905,Ireland,New Zealand,0,15,The Original All Blacks,Dublin,Ireland,FALSE,FALSE,New Zealand
1905,England,New Zealand,0,15,The Original All Blacks tour,London,England,FALSE,FALSE,New Zealand
1905,Wales,New Zealand,3,0,The Original All Blacks tour,Cardiff,Wales,FALSE,FALSE,Wales
1906,France,New Zealand,8,38,The Original All Blacks,Paris,France,FALSE,FALSE,New Zealand
1906,England,Wales,3,16,1906 Home Nations Championship,Richmond,England,FALSE,FALSE,Wales
1906,Wales,Scotland,9,3,1906 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1906,England,Ireland,6,16,1906 Home Nations Championship,Leicester,England,FALSE,FALSE,Ireland
1906,Ireland,Scotland,6,13,1906 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Scotland
1906,Ireland,Wales,11,6,1906 Home Nations Championship,Balmoral,Ireland,FALSE,FALSE,Ireland
1906,Scotland,England,3,9,1906 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1906,France,England,8,35,,Paris,France,FALSE,FALSE,England
1906,Scotland,South Africa,6,0,1906-07 South Africa rugby union tour of Europe,Glasgow,Scotland,FALSE,FALSE,Scotland
1906,Ireland,South Africa,12,15,1906-07 South Africa rugby union tour of Europe,Belfast,Ireland,FALSE,FALSE,South Africa
1906,Wales,South Africa,0,11,1906-�07 South Africa tour of Europe,Swansea,Wales,FALSE,FALSE,South Africa
1906,England,South Africa,3,3,1906-07 South Africa rugby union tour of Europe,London,England,FALSE,FALSE,Draw
1907,England,France,41,13,,Richmond,England,FALSE,FALSE,England
1907,Wales,England,22,0,1907 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1907,Scotland,Wales,6,3,1907 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1907,Ireland,England,17,9,1907 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1907,Scotland,Ireland,15,3,1907 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1907,Wales,Ireland,29,0,1907 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1907,England,Scotland,3,8,1907 Home Nations Championship,Blackheath,England,FALSE,FALSE,Scotland
1907,Australia,New Zealand,6,26,1907 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,New Zealand
1907,Australia,New Zealand,5,14,1907 New Zealand tour of Australia,Brisbane,Australia,FALSE,FALSE,New Zealand
1907,Australia,New Zealand,5,5,1907 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,Draw
1908,France,England,0,19,,Colombes,France,FALSE,FALSE,England
1908,England,Wales,18,28,1908 Home Nations Championship,Bristol,England,FALSE,FALSE,Wales
1908,Wales,Scotland,6,5,1908 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1908,England,Ireland,13,3,1908 Home Nations Championship,Richmond,England,FALSE,FALSE,England
1908,Ireland,Scotland,16,11,1908 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1908,Wales,France,36,4,1908 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1908,Ireland,Wales,5,11,1908 Home Nations Championship,Balmoral,Ireland,FALSE,FALSE,Wales
1908,Scotland,England,16,10,1908 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1908,Wales,Australia,9,6,1908-09 Australia tour of Great Britain,Cardiff,Wales,FALSE,FALSE,Wales
1909,England,Australia,3,9,1908-09 Australia tour of Great Britain,Blackheath,England,FALSE,FALSE,Australia
1909,Wales,England,8,0,1909 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1909,England,France,22,0,,Leicester,England,FALSE,FALSE,England
1909,Scotland,Wales,3,5,1909 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Wales
1909,Ireland,England,5,11,1909 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1909,France,Wales,5,47,1909 Home Nations Championship,Paris,France,FALSE,FALSE,Wales
1909,Scotland,Ireland,9,3,1909 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1909,Wales,Ireland,18,5,1909 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1909,Ireland,France,19,8,Test Match,Dublin,Ireland,FALSE,FALSE,Ireland
1909,England,Scotland,8,18,1909 Home Nations Championship,Richmond,England,FALSE,FALSE,Scotland
1910,Wales,France,49,14,1910 Five Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1910,England,Wales,11,6,1910 Five Nations Championship,London,England,FALSE,FALSE,England
1910,Scotland,France,27,0,1910 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1910,Wales,Scotland,14,0,1910 Five Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1910,England,Ireland,0,0,1910 Five Nations Championship,London,England,FALSE,FALSE,Draw
1910,Ireland,Scotland,0,14,1910 Five Nations Championship,Belfast,Ireland,FALSE,FALSE,Scotland
1910,France,England,3,11,1910 Five Nations Championship,Paris,France,FALSE,FALSE,England
1910,Ireland,Wales,3,19,1910 Five Nations Championship,Dublin,Ireland,FALSE,FALSE,Wales
1910,Scotland,England,5,14,1910 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1910,France,Ireland,3,8,1910 Five Nations Championship,Paris,France,FALSE,FALSE,Ireland
1910,Australia,New Zealand,0,6,1910 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,New Zealand
1910,Australia,New Zealand,11,0,1910 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,Australia
1910,Australia,New Zealand,13,28,1910 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,New Zealand
1911,France,Scotland,16,15,1911 Five Nations Championship,Colombes,France,FALSE,FALSE,France
1911,Wales,England,15,11,1911 Five Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1911,England,France,37,0,1911 Five Nations Championship,London,England,FALSE,FALSE,England
1911,Scotland,Wales,10,32,1911 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Wales
1911,Ireland,England,3,0,1911 Five Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1911,Scotland,Ireland,10,16,1911 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Ireland
1911,France,Wales,0,15,1911 Five Nations Championship,Paris,France,FALSE,FALSE,Wales
1911,Wales,Ireland,16,0,1911 Five Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1911,England,Scotland,13,8,1911 Five Nations Championship,London,England,FALSE,FALSE,England
1911,Ireland,France,25,5,1911 Five Nations Championship,Cork,Ireland,FALSE,FALSE,Ireland
1912,France,Ireland,6,11,1912 Five Nations Championship,Paris,France,FALSE,FALSE,Ireland
1912,England,Wales,8,0,1912 Five Nations Championship,London,England,FALSE,FALSE,England
1912,Scotland,France,31,3,1912 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1912,Wales,Scotland,21,6,1912 Five Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1912,England,Ireland,15,0,1912 Five Nations Championship,London,England,FALSE,FALSE,England
1912,Ireland,Scotland,10,8,1912 Five Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1912,Ireland,Wales,12,5,1912 Five Nations Championship,Balmoral,Ireland,FALSE,FALSE,Ireland
1912,Scotland,England,8,3,1912 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1912,Wales,France,14,8,1912 Five Nations Championship,Newport,Wales,FALSE,FALSE,Wales
1912,France,England,8,18,1912 Five Nations Championship,Paris,France,FALSE,FALSE,England
1912,Scotland,South Africa,0,16,1912-13 South Africa rugby union tour of Europe,Edinburgh,Scotland,FALSE,FALSE,South Africa
1912,Ireland,South Africa,0,38,1912-13 South Africa rugby union tour of Europe,Dublin,Ireland,FALSE,FALSE,South Africa
1912,Wales,South Africa,0,3,1912-13 South Africa tour of Europe,Cardiff,Wales,FALSE,FALSE,South Africa
1913,France,Scotland,3,21,1913 Five Nations Championship,Paris,France,FALSE,FALSE,Scotland
1913,England,South Africa,3,9,1912-13 South Africa rugby union tour of Europe,London,England,FALSE,FALSE,South Africa
1913,France,South Africa,5,38,1912-13 South Africa rugby union tour of Europe,Bordeaux,France,FALSE,FALSE,South Africa
1913,Wales,England,0,12,1913 Five Nations Championship,Cardiff,Wales,FALSE,FALSE,England
1913,England,France,20,0,1913 Five Nations Championship,London,England,FALSE,FALSE,England
1913,Scotland,Wales,0,8,1913 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Wales
1913,Ireland,England,4,15,1913 Five Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1913,Scotland,Ireland,29,14,1913 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1913,France,Wales,8,11,1913 Five Nations Championship,Paris,France,FALSE,FALSE,Wales
1913,Wales,Ireland,16,13,1913 Five Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1913,England,Scotland,3,0,1913 Five Nations Championship,London,England,FALSE,FALSE,England
1913,Ireland,France,24,0,1913 Five Nations Championship,Cork,Ireland,FALSE,FALSE,Ireland
1913,New Zealand,Australia,30,5,1913 Australia tour of New Zealand,Wellington,New Zealand,FALSE,FALSE,New Zealand
1913,New Zealand,Australia,25,13,1913 Australia tour of New Zealand,Dunedin,New Zealand,FALSE,FALSE,New Zealand
1913,New Zealand,Australia,5,16,1913 Australia tour of New Zealand,Christchurch,New Zealand,FALSE,FALSE,Australia
1914,France,Ireland,6,8,1914 Five Nations Championship,Paris,France,FALSE,FALSE,Ireland
1914,England,Wales,10,9,1914 Five Nations Championship,London,England,FALSE,FALSE,England
1914,Wales,Scotland,24,5,1914 Five Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1914,England,Ireland,17,12,1914 Five Nations Championship,London,England,FALSE,FALSE,England
1914,Ireland,Scotland,6,0,1914 Five Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1914,Wales,France,31,0,1914 Five Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1914,Ireland,Wales,3,11,1914 Five Nations Championship,Balmoral,Ireland,FALSE,FALSE,Wales
1914,Scotland,England,15,16,1914 Five Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1914,France,England,13,39,1914 Five Nations Championship,Colombes,France,FALSE,FALSE,England
1914,Australia,New Zealand,0,5,1914 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,New Zealand
1914,Australia,New Zealand,0,17,1914 New Zealand tour of Australia,Brisbane,Australia,FALSE,FALSE,New Zealand
1914,Australia,New Zealand,7,22,1914 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,New Zealand
1920,France,Scotland,0,5,1920 Five Nations Championship,Paris,France,FALSE,FALSE,Scotland
1920,Wales,England,19,5,1920 Five Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1920,England,France,8,3,1920 Five Nations Championship,London,England,FALSE,FALSE,England
